energy,max,risetime,MED,RMS-DS,kurtosis
1129127530,5728.347809,3.31E-10,2.43E-08,1.49E-15,56.63920875
1403294891,6407.043291,3.31E-10,1.39E-08,7.97E-16,81.24119246
2129797523,7326.81542,3.31E-10,1.16E-08,7.37E-16,68.02978709
376848559.5,2868.808382,3.76E-09,1.94E-08,1.15E-15,47.41161717
455306947.9,4891.272675,3.31E-10,1.72E-08,1.13E-15,106.4617004
403231932.1,3633.893376,2.48E-10,1.94E-08,1.18E-15,86.133965
484817645.1,3758.751716,4.91E-10,1.48E-08,9.85E-16,74.0965668
236154292.4,3182.210851,7.03E-10,1.76E-08,1.17E-15,92.31348385
1492452158,7067.161257,2.48E-10,1.23E-08,8.23E-16,90.81649358
1374582206,7264.33864,2.07E-10,1.22E-08,8.25E-16,108.7885123
999041477.9,6055.781726,4.13E-10,1.31E-08,9.19E-16,87.21969366
572218082.7,4845.697469,2.07E-10,1.47E-08,1.04E-15,137.3189921
458336989.9,5080.181976,4.91E-10,1.62E-08,1.04E-15,118.298745
481378960.1,4720.645931,3.31E-10,1.43E-08,1.03E-15,107.7967359
1126777553,5824.818818,3.31E-10,1.34E-08,9.26E-16,94.18300087
391737029.4,5036.547174,3.31E-10,1.74E-08,1.12E-15,167.7747308
504432328.7,4445.726347,3.31E-10,1.74E-08,1.10E-15,73.44234125
278381415.1,2248.460716,2.48E-10,2.01E-08,1.16E-15,41.05500938
244257018.2,2478.364922,2.48E-10,2.05E-08,1.21E-15,55.3424598
1339993058,7393.528382,3.72E-10,1.19E-08,8.19E-16,124.3936606
865951035.8,6437.211035,3.31E-10,1.34E-08,1.01E-15,156.3526498
508761856,4769.042072,3.31E-10,1.76E-08,1.03E-15,94.43079427
480500784.4,4896.498147,3.31E-10,1.50E-08,1.01E-15,133.18502
1179610463,7555.46509,3.31E-10,1.17E-08,8.42E-16,140.0077091
954540796.9,6784.999638,4.91E-10,1.29E-08,9.02E-16,116.5818495
768200773.8,6234.972136,4.49E-10,1.21E-08,9.04E-16,122.6964733
755550099,5620.392713,2.07E-10,1.17E-08,8.57E-16,117.1316499
294314617.7,2430.338547,3.31E-10,1.90E-08,1.15E-15,41.26832042
